mass,ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuelflow,fid,num,cost_grid
61548.93376452387,482.3453,-2871.4879600958025,-21417.636331712598,9240.055203385231,51.41512419662771,4.559564706890048,30315.0,0.81895,481.967,2635.0,187.1618,1.3996110865162645,id4,0.0,0.0
61515.00367622789,506.4625,-3614.1955164967303,-27328.422644522572,9562.88583671115,51.36196294892985,4.548915854544655,31374.0,0.81656,478.3446,2346.0,187.1878,1.328873369338749,id4,0.0,0.0
61482.755808977156,530.5798,-4354.367903304869,-33197.506440694124,9850.259544778193,51.30917579745597,4.538327649913694,32317.0,0.814004,474.8722,2056.0,187.2449,1.2569023631624043,id4,0.0,0.0
61452.22177014211,554.6971,-5095.34419944504,-39026.16481947965,10102.176327586316,51.256751240619,4.527751643120322,33144.0,0.811252,471.5349,1767.0,187.2775,1.1841067130101988,id4,0.0,0.0
61423.43398580818,578.8143,-5834.75072708956,-44816.20597045992,10318.636185135518,51.204673042114656,4.517221625647312,33854.0,0.808299,468.3306,1477.0,187.2892,1.110060920475838,id4,0.0,0.0
61396.42528862011,602.9316,-6570.648190509704,-50569.3693520753,10499.63911742583,51.152925590888756,4.506765023729166,34448.0,0.805117,465.2439,1188.0,187.2602,1.0351702926159736,id4,0.0,0.0
61371.229125397054,627.0488,-7299.119459615968,-56287.50584491873,10645.18512445733,51.10149230904329,4.4964374858552985,34925.0,0.801676,462.2577,899.0,187.2289,0.9591998639369527,id4,0.0,0.0
61347.878897183684,651.1661,-8020.131780231632,-61971.87358349002,10755.274206230153,51.05036191403807,4.4862388507588005,35286.0,0.797842,459.2947,609.0,187.3327,0.8818287705174207,id4,0.0,0.0
61326.40929147368,675.2834,-8747.094475712433,-67621.12081948106,10829.906362744556,50.99954638795042,4.475976823769584,35531.0,0.793484,456.2784,320.0,187.3416,0.8034915266234756,id4,0.0,0.0
61306.85527113434,699.4006,-9470.480872032822,-73235.66039158018,10869.081594001082,50.94904215720511,4.465787387351057,35660.0,0.788496,453.1449,30.0,187.3707,0.723644325637725,id4,0.0,0.0
61289.25051674387,723.5179,-10191.977899403753,-78813.2335270688,10872.799900001393,50.898869521906036,4.4556459671098585,35672.0,0.783508,450.2533,-259.0,187.3997,0.6433137783602854,id4,0.0,0.0
62399.99990000144,0.0,9878.779421791027,78833.15637846875,30.480000304651966,52.316619999102485,4.746299998544113,100.0,0.3,198.3755,3000.0,187.37,1.94652272845498,id3,1.001,0.18511500383199972
62352.912060017974,24.1722,9566.47761126385,76418.66660966525,398.8643311190697,52.2949115334498,4.74163684489692,1309.0,0.3756,247.3312,3290.0,181.1578,1.8767214513622348,id3,1.001,0.08868438865542246
62307.5603588361,48.3444,9505.003015483559,73377.00119313363,802.8673062213079,52.2675583034314,4.740646928777519,2634.0,0.458617,300.6057,3580.0,179.0434,1.8529037236337562,id3,1.001,0.061842162768291686
62262.85622584123,72.5166,9566.82795740716,69674.51665004929,1242.4889256113063,52.23426006507355,4.741450273574302,4076.0,0.542855,354.0191,3870.0,178.1125,1.869406425420015,id3,1.001,0.04780891369375202
62217.828066665985,96.6888,9710.58811930285,65312.230959547225,1717.7291892889218,52.19502666656862,4.743435722042243,5636.0,0.582734,377.9243,4000.0,178.3799,1.8764352102870396,id3,1.001,0.04018165661349004
62172.65915156906,120.861,9842.347643349385,60653.613844153144,2208.9082970413715,52.15312848310197,4.745233199692827,7247.0,0.599317,386.4328,4000.0,179.5737,1.863295981440211,id3,1.001,0.03474436793114781
