mass,ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuelflow,fid,obj,thrust,cost_grid,max_fuel
77135.55495606095,46.9348,-75043.51663180128,54920.37598553654,476.9423710672347,52.2732702695486,4.777028926277549,1565.0,0.449413,295.6739,2295.0,167.1124,1.7704564977695214,DLH7KK_568,pop,101256.0895727027,0.07431926352357363,True
77094.05541641769,70.4021,-74250.9380487819,51456.351088497366,750.5311802922537,52.24222923199342,4.789440887485494,2462.0,0.525855,344.8848,2577.0,161.1063,1.812665865146228,DLH7KK_568,pop,105642.5286643936,0.05493344700678403,True
77051.62151587402,93.8695,-72908.71990213143,47534.65627982178,1057.6917367382134,52.20714442999839,4.810000230885234,3470.0,0.56135,366.8647,2858.0,163.9252,1.859626832873881,DLH7KK_568,pop,110983.48313194196,0.042090621940862646,True
77008.10190763482,117.3369,-71688.39429845447,43299.74879971153,1398.4240234018068,52.16922375983731,4.8288061499842785,4588.0,0.572262,372.5212,3000.0,162.9552,1.8743041025920468,DLH7KK_568,pop,112773.88939812298,0.03650422380254181,True
76964.23936420605,140.8043,-70377.04742653125,39022.49789195059,1756.0668482303322,52.13093089900469,4.848921943024638,5761.0,0.584007,378.5797,3000.0,161.7674,1.8652661489579667,DLH7KK_568,pop,111663.81417495932,0.03404767186182247,True
76920.59230344399,164.2717,-68954.44059639683,34703.88579480857,2113.709671037311,52.092276523907145,4.870639763896938,6935.0,0.596057,384.7648,3000.0,161.3047,1.8560770858169744,DLH7KK_568,pop,110559.90570389054,0.033424137537916364,True
76877.16406847551,187.739,-67473.07553779478,30326.18991107007,2471.35249139286,52.053093978213035,4.8931907047956855,8108.0,0.608421,391.0789,3000.0,153.5184,1.8467554696490445,DLH7KK_568,pop,109464.11201417413,0.03184840977217426,True
76833.95797363926,211.2064,-65378.30474778403,26121.34388835001,2828.99530980492,52.01553408231546,4.924630963117628,9281.0,0.621108,397.5245,3000.0,141.8101,1.8372936042818147,DLH7KK_568,pop,108375.21754489953,0.03098186133628757,True
76790.97730522964,234.6738,-62425.74487611565,22367.94591760863,3186.638126216542,51.98212252465904,4.9684586174657,10455.0,0.634126,404.1042,3000.0,134.0105,1.8276828917502224,DLH7KK_568,pop,107291.99417991165,0.029473903910400157,True
76748.22532225495,258.1412,-58934.03397584913,18994.805342344494,3544.2809411190033,51.95217158590924,5.020021268935846,11628.0,0.647486,410.8203,3000.0,127.8227,1.817943049108936,DLH7KK_568,pop,106216.39723046302,0.02776709545564276,True
76705.70525725809,281.6085,-55035.08191162882,15967.99624616542,3901.9237555956406,51.925352978459074,5.077397354319117,12802.0,0.661195,417.6754,3000.0,121.218,1.808055615938961,DLH7KK_568,pop,105146.12678894465,0.025259468231093717,True
