mass,ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuelflow,fid,thrust,cost_grid
63807.96035678577,0.0,93431.6275152655,29960.068545779235,30.480000303298723,52.30459976108106,4.777520178250386,100.0,0.3,198.3755,970.0,237.9631,1.2711587893869103,EIN84T_1564,63702.235035938684,0.06299547362455422
63782.03359106051,20.3857,91671.09360495808,28858.38820769645,130.93772986346727,52.294991118859606,4.751330066490302,430.0,0.418187,276.2133,1174.0,237.9631,1.26845943383106,EIN84T_1564,63554.25045183071,0.05564021260710035
63756.21853738743,40.7714,89219.36693662377,27324.18369789214,252.50672401598194,52.28160041725512,4.714876564489968,828.0,0.536046,353.5718,1378.0,263.6804,1.4511167172006776,EIN84T_1564,74404.74250566476,0.04705609793892843
63726.73497687389,61.157,85539.60089976536,26916.658857593877,395.18698276104845,52.27852175938895,4.6606881889655565,1297.0,0.643067,423.4752,1582.0,269.0823,1.651615782021379,EIN84T_1564,89885.81539197097,0.040397297896005026
63693.18668305733,81.5427,81106.22408521654,26845.6411719665,558.9785060987082,52.2785559571428,4.595513637365526,1834.0,0.734702,482.9166,1785.0,271.8424,1.7843929816262765,EIN84T_1564,106151.95229794904,0.03321457967263888
63656.91226114307,101.9284,76053.07834572141,27008.188043826827,743.8812940289487,52.28074074393915,4.521283067228047,2441.0,0.809993,531.2794,1989.0,271.1665,1.8480715210393726,EIN84T_1564,121076.52046923983,0.025424051902517817
63619.299253653735,122.3141,70492.9471007701,27121.400761058976,949.8953465517168,52.28250080899858,4.439582748693248,3116.0,0.82,536.5702,2193.0,266.4113,1.8536749113549629,EIN84T_1564,123353.50444918606,0.01767813481009959
63581.560197875646,142.6998,64888.74596138841,26769.924607610836,1177.020663666903,52.28003121603019,4.357138370874665,3862.0,0.82,535.1637,2397.0,260.856,1.8533688341950825,EIN84T_1564,123238.78639709113,0.012960860590227292
63543.83177562054,163.0854,59361.047327224405,25880.171528164796,1425.2572453743167,52.27265563488129,4.275732485493783,4676.0,0.82,533.6223,2601.0,257.1699,1.85268283937316,EIN84T_1564,122979.69197234423,0.009745503190927277
63506.121911049784,183.4711,53919.40938259264,24640.854963049725,1694.6050916735749,52.262072250109114,4.19556220157377,5560.0,0.82,531.9447,2805.0,255.2476,1.8516354151267873,EIN84T_1564,122589.97650100722,0.0070328678499275085
63468.43783738513,203.8568,48541.156913874474,23224.64261685949,1985.0642025635182,52.249838282373744,4.116335795576105,6513.0,0.82,530.1296,3000.0,253.882,1.8499773861058484,EIN84T_1564,121988.34025372917,0.006123103237910178
63430.79181689751,224.2425,43218.21443082163,21686.442307044515,2295.741985238924,52.236449996944614,4.037949694483039,7532.0,0.82,528.1813,3000.0,252.8499,1.8411088163657716,EIN84T_1564,119051.61553430386,0.005073988164779717
63393.33380012382,244.6282,37943.431486774105,20058.661432326982,2606.419767914287,52.22220095244972,3.9603078350642806,8551.0,0.82,526.2259,3000.0,252.1557,1.8311185380101946,EIN84T_1564,116221.18678150928,0.0044553126021104365
63356.08605063592,265.0139,32708.34768418561,18373.39228362755,2917.0975505895876,52.207381680897555,3.883292872783627,9571.0,0.82,524.2631,3000.0,251.5768,1.8200133051852718,EIN84T_1564,113492.95858135796,0.0039017538076334514
63319.07027384384,285.3995,27510.155557845126,16641.843262559476,3227.775333264818,52.19209430293522,3.8068667740370916,10590.0,0.82,522.2929,3000.0,251.1728,1.8078484696621957,EIN84T_1564,110869.40226866055,0.0034037870184693976
63282.307216987065,305.7852,22343.92416187158,14880.382090770026,3538.4531159399567,52.17648731482607,3.730960018004093,11609.0,0.82,520.3153,3000.0,250.8532,1.7946710559987604,EIN84T_1564,108346.55560468709,0.003112909425088392
63245.816308363996,326.1709,17207.260780264838,13096.955463799593,3849.1308986149947,52.16063321500616,3.6555389248522374,12628.0,0.82,518.3301,3000.0,250.5882,1.7805530716996398,EIN84T_1564,105922.67485641249,0.002798572377477177
63209.61534344177,346.5566,12098.608138851487,11296.72814916511,4159.808681289914,52.14457937219314,3.5805814989691753,13648.0,0.82,516.3373,3000.0,250.3895,1.765567905760212,EIN84T_1564,103594.34514392889,0.0025871636182696195
63173.72022212968,366.9423,7015.984514853342,9485.839889357227,4470.486463964695,52.128381865802744,3.506059247324527,14667.0,0.82,514.3368,3000.0,250.2037,1.749838021763593,EIN84T_1564,101363.65881390663,0.002403185414161122
63138.144738562856,387.3279,1959.0732141541278,7665.604651456805,4781.1642466393205,52.11205328755978,3.4319676878005594,15686.0,0.82,512.3284,3000.0,250.0503,1.7334574380002175,EIN84T_1564,99227.23685097421,0.002228877172449679
63102.90042231874,407.7136,-3073.077946465914,5839.052711978287,5091.842029313766,52.09562162606117,3.358292946877985,16706.0,0.82,510.3122,3000.0,249.9101,1.7165244419284365,EIN84T_1564,97182.15025413342,0.0021089085691178605
63067.99642811273,428.0993,-8080.813632854618,4007.4824329679236,5402.5198119880115,52.079099279729085,3.285029956827621,17725.0,0.82,508.288,3000.0,249.7799,1.699183787153174,EIN84T_1564,95230.26327808801,0.001986264821155867
63033.439469665704,448.485,-13064.379953431378,2171.900166511127,5713.197594662026,52.0624960528619,3.212174978242333,18744.0,0.82,506.2556,3000.0,249.6661,1.6815396163669758,EIN84T_1564,93368.69468746103,0.001885751833608936
62999.23379255832,468.8707,-18024.232823509778,333.86202494939135,6023.875377335784,52.04582665209914,3.139721092343908,19763.0,0.82,504.2151,3000.0,249.5751,1.6637103628909236,EIN84T_1564,91596.3518493915,0.0016776252045620562
62965.381180412434,489.2563,-22961.02990185535,-1504.5580906522719,6334.553160009173,52.02911040050134,3.0676583247817817,20783.0,0.82,502.1663,3000.0,249.5561,1.645797319151905,EIN84T_1564,89910.92328390919,8.804778735141552e-05
62931.880988591525,509.642,-27877.009041029083,-3337.07883210151,6645.230942682119,52.01240434996418,2.995953163676403,21802.0,0.82,500.1091,3000.0,249.5565,1.6279448789834468,EIN84T_1564,88314.1056555092,0.0
62898.730199719415,530.0277,-32772.705750986155,-5162.007921104907,6955.908725354639,51.99572429904694,2.9245970908234384,22821.0,0.82,498.0434,3000.0,249.5563,1.610247887024439,EIN84T_1564,86803.76024510113,0.0
62865.92349560316,550.4134,-37648.018797987424,-6979.3588727155875,7266.586508026665,51.97907072656536,2.8535909888218423,23841.0,0.82,495.9691,3000.0,249.5563,1.5927968534657029,EIN84T_1564,85378.1646663986,0.0
62833.45334055564,570.7991,-42502.87111129946,-8789.077131605387,7577.264290698124,51.96244472156186,2.7829353784598894,24860.0,0.82,493.8861,3000.0,249.5562,1.5757223330091008,EIN84T_1564,84038.9612679512,0.0
62801.310071596636,591.1848,-47337.17057975902,-10591.145173116274,7887.942073368918,51.94584704039939,2.7126310010030905,25879.0,0.82,491.7942,3000.0,249.5559,1.5591040600353752,EIN84T_1564,82784.62686390389,0.0
62769.4819915263,611.5704,-52150.825256276374,-12385.54164337667,8198.61985603894,51.929278473410285,2.642678592423236,26898.0,0.82,489.6934,3000.0,249.5559,1.5430314773652816,EIN84T_1564,81614.94911728633,0.0
62737.955461381,631.9561,-56943.7542522636,-14172.212061170767,8509.297638708053,51.91274010720076,2.573078719472919,27918.0,0.82,487.5836,3000.0,249.556,1.5275748704273766,EIN84T_1564,80529.11757235177,0.0
62706.714989280954,652.3418,-61715.87066073329,-15951.114553801084,8819.975421376108,51.896232914750854,2.503832034848837,28937.0,0.82,485.4646,3000.0,249.5561,1.512839926076615,EIN84T_1564,79528.85796490608,0.0
62675.743313143714,672.7275,-66467.08042593765,-17722.222811480962,9130.65320404292,51.87975772921851,2.434939295009685,29956.0,0.82,483.3363,3000.0,249.5566,1.4988856604397456,EIN84T_1564,78613.69247630669,0.0
62645.021475164256,693.1132,-71197.30741043444,-19485.458762657992,9441.330986708283,51.863315846400205,2.3664009821310072,30975.0,0.82,481.1986,3000.0,249.5568,1.4857799849877538,EIN84T_1564,77784.21195834718,0.0
62614.52888634627,713.4988,-75906.44763761677,-21240.815263017488,9752.008769371954,51.846907926942244,2.2982179943208942,31995.0,0.82,479.0514,3000.0,249.5574,1.4735750851759195,EIN84T_1564,77040.81572620606,0.0
62584.2433797686,733.8845,-80594.41740755335,-22988.227386747214,10062.68655203368,51.8305351478819,2.230390919445569,33014.0,0.82,476.8945,3000.0,249.5577,1.4623524827821102,EIN84T_1564,76385.62530217067,0.0
62554.141253576934,754.2702,-85261.11680062377,-24727.6804596712,10373.364334693233,51.81419823592106,2.1629205894870647,34033.0,0.82,474.7278,3000.0,249.5582,1.4521552891855452,EIN84T_1564,75819.581633194,0.0
62524.19736729026,774.6559,-89906.53336712271,-26459.15824580484,10684.04211734794,51.797897917231396,2.0958065624131215,35053.0,0.81986,472.4704,3000.0,249.5583,1.4430505124628283,EIN84T_1564,75337.1824635437,0.0
62494.388940155855,795.0416,-94531.25194125762,-28182.91109026668,10994.719900002832,51.781632416260685,2.029039788460041,36072.0,0.81972,470.2036,3000.0,249.5584,1.435099357225138,EIN84T_1564,74948.73951710068,0.0
75567.91538369292,0.0,91389.89357599407,29049.351967089937,30.480000301505925,52.32860183806575,4.708839891897301,100.0,0.3,198.3755,234.0,3.1751,1.0011512696049119,EIN84X_1589,49983.58068981496,0.0565883041595298
75546.93328018613,20.9549,91508.31768793812,31184.134480058496,55.37629315153226,52.34777667992673,4.711166348135899,182.0,0.413529,273.3702,443.0,3.1751,1.065079614541177,EIN84X_1589,53075.5463643024,0.05536527632214957
75524.62595373053,41.9098,91671.48087517898,34125.409809583354,102.57921918672243,52.37419544283073,4.714375177378642,337.0,0.524546,346.5743,653.0,331.7428,1.308118774427395,EIN84X_1589,65759.23171010961,0.05350411926265047
75497.26674312886,62.8646,89903.69591864749,37414.42935912449,172.0887784075316,52.404061534546514,4.689225194320015,565.0,0.625133,412.7092,863.0,300.3105,1.561972745303989,EIN84X_1589,82248.99613629904,0.048280437537153865
75464.61776439051,83.8195,86065.63174208133,39658.15618781839,263.9049708140918,52.42485344619082,4.633237693852232,866.0,0.712047,469.6,1072.0,268.8782,1.7384457044464259,EIN84X_1589,99408.37499631732,0.041445834640870406
75428.26870861441,104.7744,81008.82720695055,39559.13299660074,378.02779640644144,52.42473568795367,4.558647543672673,1240.0,0.784565,516.7561,1282.0,261.7847,1.8293620303485953,EIN84X_1589,115400.97442460108,0.03114014883492074
75389.99448530699,125.7293,75501.23994468096,38763.975395220026,514.4572551845692,52.41837397286172,4.477252837384515,1688.0,0.82,539.2564,1491.0,258.7914,1.8563857226231961,EIN84X_1589,124533.99425560978,0.017748168019372314
75351.11939284517,146.6841,69806.1732495459,37635.42950446508,673.1933471484232,52.408982599969455,4.393048032287538,2209.0,0.82,538.2787,1701.0,256.2923,1.85881811978483,EIN84X_1589,125585.2857289662,0.007350992663291809
75312.19702142778,167.639,64177.33812535009,36262.470076319456,854.2360722979097,52.3973259430388,4.309808222200409,2803.0,0.82,537.1615,1910.0,254.7059,1.8606370474355352,EIN84X_1589,126419.36590934699,0.006323612523021483
75273.23909370047,188.5939,58601.73894383324,34737.77196870531,1057.585430632897,52.38424075153277,4.227370150397729,3470.0,0.82,535.9038,2120.0,253.2521,1.862008334565873,EIN84X_1589,127079.7954286843,0.00520950275096643
75234.25522504625,209.5488,53081.12847547842,33076.481352554525,1283.2414221531994,52.36986468346246,4.1457692081579465,4210.0,0.82,534.5047,2329.0,252.2229,1.862959921461609,EIN84X_1589,127557.52230462937,0.004649410944316116
75195.25332169821,230.5036,47607.22527061955,31321.421317274708,1531.2040468585344,52.35458523359562,4.064895782065258,5024.0,0.82,532.963,2539.0,251.2699,1.863611297346207,EIN84X_1589,127896.72638655151,0.004138754305808319
75156.23986627097,251.4585,42180.70869711145,29481.473699978706,1801.473304748433,52.33848366197923,3.9847650793811487,5910.0,0.82,531.2776,2748.0,250.5597,1.8639773039294576,EIN84X_1589,128096.00987894015,0.0037070164187507455
75117.22010988032,272.4134,36796.337235987456,27581.083009493726,2094.049195821953,52.32178160397879,3.9053062119828463,6870.0,0.82,529.447,2958.0,249.8707,1.864152526227152,EIN84X_1589,128199.9103634326,0.0033862860200295623
75078.19818688236,293.3683,31455.616281774008,25623.556838812194,2408.9317200762694,52.304510019375044,3.8265439919942814,7903.0,0.82,527.4697,3000.0,249.2287,1.859406511812741,EIN84X_1589,125917.3662500787,0.0030510141569072115
75039.27928609223,314.3232,26157.5348492119,23614.043079553176,2728.2840472770777,52.286716590004026,3.7484660706430777,8951.0,0.82,525.4568,3000.0,248.7659,1.852650628094559,EIN84X_1589,123133.83272252597,0.0028411580180077245
75000.50554785653,335.278,20896.153941425502,21569.6894875253,3047.6363744777786,52.26855705554284,3.670988063210564,9999.0,0.82,523.4362,3000.0,248.34,1.8450466596214543,EIN84X_1589,120463.38702888743,0.0026097193192228295
74961.89386681604,356.2329,15670.431735035356,19494.34942526542,3366.9887016783564,52.250067225321025,3.5940959196999835,11047.0,0.82,521.4077,3000.0,247.9891,1.836613981171598,EIN84X_1589,117904.23086923847,0.0024217093983055693
74923.46051231342,377.1878,10477.862695889093,17395.2700917771,3686.3410288787886,52.23131341146237,3.5177539541521696,12094.0,0.82,519.3712,3000.0,247.6895,1.8273970554189467,EIN84X_1589,115456.51466956828,0.002267680405354973
74885.22078036539,398.1427,5316.723718879214,15277.429188768208,4005.6933560790585,52.212341406130726,3.4419375137242736,13142.0,0.82,517.3268,3000.0,247.4324,1.8174333677105623,EIN84X_1589,113114.97365612804,0.002109057565193322
74847.18867774236,419.0975,185.56637745742051,13144.935727868029,4325.0456832791415,52.19318911419254,3.3666256920533995,14190.0,0.82,515.2743,3000.0,247.2237,1.8067964930065368,EIN84X_1589,110880.02715470755,0.002002631730096516
