mass,ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuelflow,fid,num,cost_grid
61978.262421910404,243.8568,8273.78148283881,35965.71097630906,3659.2289587726746,51.931130889718595,4.721642419739413,12005.0,0.651853,413.0084,3000.0,186.7037,1.6738181005829604,id3,3e-05,0.033717055871861315
61937.66816253004,268.2425,7671.891646915126,30844.90623380824,4030.8667237338423,51.88508707475216,4.7127494020433165,13225.0,0.666226,420.1815,3000.0,187.8247,1.6627966851635694,id3,3e-05,0.03353407753839111
61897.34644269733,292.6282,6957.692349784092,25647.79851228223,4402.504488694877,51.8383577928037,4.702238394593723,14444.0,0.68099,427.5083,3000.0,188.7694,1.6516724410361519,id3,3e-05,0.03310743127318064
61857.30005906006,317.0138,6143.907730791172,20372.43620973048,4774.142253655775,51.79092491873641,4.690299861473721,15663.0,0.696157,434.9913,3000.0,189.4459,1.640430363918264,id3,3e-05,0.029477722701708134
61817.531831835215,341.3995,5252.511751317515,15014.5643714805,5145.780018616542,51.74274954484612,4.67725792920671,16882.0,0.711739,442.6332,3000.0,189.7312,1.6290690890060857,id3,3e-05,0.025446137770160002
61778.044607967735,365.7852,4318.259008196573,9566.841025458953,5517.417783577159,51.693765006377525,4.663620888588214,18102.0,0.727746,450.4366,3000.0,189.6496,1.6175723235854262,id3,3e-05,0.022922552825599404
61738.84126397991,390.1709,3375.3806663979913,4021.4294927780784,5889.055548537585,51.643900408257345,4.649887395446738,19321.0,0.744189,458.4039,3000.0,189.4145,1.6059675719478148,id3,3e-05,0.021545850440151743
61699.92470843446,414.5566,2438.948833234068,-1626.2495622201022,6260.693313497783,51.59311444987876,4.636276642649569,20540.0,0.761082,466.5376,3000.0,189.2936,1.5942385801372296,id3,3e-05,0.009802599573393229
61661.29788178391,438.9422,1497.9807584396456,-7376.414095080497,6632.331078457522,51.54140528564208,4.622630134223641,21760.0,0.778435,474.8401,3000.0,189.2912,1.5823681135555325,id3,3e-05,0.0
61622.96102796178,463.3279,540.4729027230557,-13229.215508645648,7003.968843416879,51.488771534568585,4.608775563379707,22979.0,0.79626,483.3134,3000.0,189.2909,1.5703846164585151,id3,3e-05,0.0
61584.8897054852,487.7136,-434.13900134456725,-19186.717935178458,7375.606608375818,51.43519452278106,4.594707810425116,24198.0,0.81457,491.9598,3000.0,189.2913,1.5582707907768103,id3,3e-05,0.0
61546.99373124194,512.0993,-1426.2660200137364,-25251.037006890412,7747.24437333441,51.38065513414887,4.580420086744587,25417.0,0.82,492.7427,3000.0,189.292,1.5394685331622797,id3,3e-05,0.0
61509.46368764302,536.485,-2420.024757290985,-31324.872309584443,8118.88213829239,51.32602842155173,4.5661429790470045,26637.0,0.82,490.2335,3000.0,189.2923,1.5188839420661386,id3,3e-05,0.0
61472.39757606032,560.8706,-3408.710781405774,-37367.501471024785,8490.519903249397,51.271680649372,4.551972484791928,27856.0,0.82,487.7114,3000.0,189.2932,1.499493668946521,id3,3e-05,0.0
61435.76299083374,585.2563,-4392.355261718116,-43378.75311991852,8862.157668205124,51.21761339222894,4.537907492108174,29075.0,0.82,485.1762,3000.0,189.2935,1.4813519989184156,id3,3e-05,0.0
61399.52545863215,609.642,-5370.8791213538525,-49358.47130807455,9233.795433159105,51.16382808649667,4.523948478477589,30295.0,0.82,482.6277,3000.0,189.2943,1.4645114441572826,id3,3e-05,0.0
61363.64847809861,634.0277,-6344.297694032515,-55306.48195514564,9605.433198110644,51.11032633071535,4.51009456951452,31514.0,0.82,480.0656,2997.0,189.295,1.4485193646457304,id3,3e-05,0.0
61328.10814839452,658.4134,-7312.5821123515,-61222.66028158932,9976.650719326337,51.057109280127136,4.496345531170933,32732.0,0.82,477.4928,2704.0,189.2957,1.3799033364900428,id3,3e-05,0.0
61294.15759671184,682.799,-8276.29883624921,-67110.50067592222,10311.617676714404,51.00414553321926,4.482692709171016,33831.0,0.82,475.1592,2411.0,189.2964,1.3102376598225023,id3,3e-05,0.0
61261.821058626294,707.1847,-9235.921124533763,-72972.84689964142,10610.334070271341,50.95140953711057,4.4691288437189645,34811.0,0.82,473.0684,2119.0,189.2967,1.2397717489228672,id3,3e-05,0.0
61231.12345976208,731.5704,-10191.977899365183,-78813.23352706691,10872.799900001412,50.89886952190606,4.455645967110409,35672.0,0.82,471.2238,1826.0,189.297,1.1681203501153736,id3,3e-05,0.0
62399.9999000078,0.0,9878.779421805997,78833.15637847387,30.48000030435562,52.31661999910252,4.746299998544333,100.0,0.3,198.3755,2500.0,187.37,1.8342178346342974,id2,0.00015,0.1851150038321096
