mass,ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuelflow,fid
73151.18304970174,136.753,75956.40906372774,25049.837692835925,1987.9253778418827,52.256582128959884,4.507695425112629,6522.0,0.591784,382.5749,3000.0,252.5052,1.8269107313583048,EIN84T_1587
73068.43671364374,182.3374,67460.62345538467,22371.980230323614,2682.630760840577,52.23361109353689,4.3823519098240595,8801.0,0.615876,394.8706,3000.0,252.5164,1.8082138169290825,EIN84T_1587
72986.56754011393,227.9217,58690.24288457008,19609.453898787484,3377.336143834153,52.209775433975466,4.253093862079788,11080.0,0.641207,407.6682,3000.0,252.5096,1.7890238690599662,EIN84T_1587
72905.59777290245,273.5061,49635.02946742847,16756.024728448465,4072.041526821646,52.18500702719971,4.119783644543036,13360.0,0.667842,420.9857,3000.0,252.5113,1.7693338623144403,EIN84T_1587
72825.54930859373,319.0904,40283.06741661633,13809.399025822553,4766.746909801787,52.159272245006164,3.9822610249480794,15639.0,0.695852,434.8409,3000.0,252.5091,1.7491683583103048,EIN84T_1587
72746.44372754084,364.6747,30622.677352915223,10765.173140971174,5461.452292772846,52.1325172484133,3.8403702726287947,17918.0,0.725307,449.2511,3000.0,252.5105,1.7285186438169862,EIN84T_1587
72668.30231836357,410.2591,20641.400613748814,7620.097572844776,6156.157675732381,52.104697343833024,3.693945857331188,20197.0,0.756284,464.2328,3000.0,252.5036,1.707385725563534,EIN84T_1587
72591.14605508649,455.8434,10327.078478060628,4368.709529131857,6850.863058676814,52.075746550350345,3.5428280892720942,22477.0,0.788858,479.8018,3000.0,252.5035,1.685757578374111,EIN84T_1587
72514.94222212934,501.4278,-333.629656911276,1008.1103803264095,7545.568441602821,52.04562051880093,3.3868418544311534,24756.0,0.82,494.099,3000.0,252.509,1.6627611079401547,EIN84T_1587
72439.26327799361,547.0121,-11312.566907528737,-2451.639316085264,8240.273824522745,52.01439049866665,3.2264198278163074,27035.0,0.82,489.4111,3000.0,252.5058,1.6324285966310383,EIN84T_1587
72364.74898408826,592.5964,-22185.76692648692,-5878.732811552114,8934.979207420294,51.983240845328645,3.067764206317636,29314.0,0.82,484.6779,2834.0,252.5032,1.575841683696264,EIN84T_1587
72292.5254653066,638.1808,-32957.36810786507,-9274.354533290398,9591.292917488443,51.95216741831479,2.9108092768191716,31467.0,0.82,480.1634,2287.0,252.5093,1.4436525864269072,EIN84T_1587
